Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-05-18,Kobster,Seed,5800000.0,2018,2016,Chennai,E-Commerce
2018-05-18,ZunRoof,Angel,16600000.0,2018,2016,Gurugram,Consumer Services
2018-05-18,Magicpin,Series C,1410000000.0,2018,2016,Gurugram,Consumer Services
2018-05-18,CivilCops,Pre-Seed,100000.0,2018,2016,Gurugram,Technology
2018-05-20,Satvacart,Seed,5800000.0,2018,2016,Gurugram,Consumables
2018-05-20,Indiabulls Ventures,Post-IPO Equity,-2147483648.0,2018,2016,Mumbai,Finance
2018-05-20,Pooltoo,Seed,5800000.0,2018,2016,Delhi,Logistics
2018-05-21,Bonphul Air Products,Angel,20000000.0,2018,2016,Delhi,Technology
2018-05-21,Verzeo,Series A,5000000.0,2018,2016,Bangalore,Education
2018-05-24,Square Off,Seed,1100000.0,2018,2016,Mumbai,Technology
2018-05-24,MissMalini Entertainment,Seed,104000000.0,2018,2016,Mumbai,Media/Entertainment
2018-05-25,Deftouch,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-05-26,Rooter,Seed,45000000.0,2018,2016,India,Gaming
2018-05-26,Max Healthcare,Corporate Round,5800000.0,2018,2016,Delhi,Automotive
2018-05-28,Stones2Milestones,Seed,5800000.0,2018,2016,Gurugram,Education
2018-05-28,Rupeek,Series A,6830000.0,2018,2016,Bangalore,Finance
2018-05-29,Playtoome,Seed,20000000.0,2018,2016,Bangalore,Media/Entertainment
2018-05-30,Huddle,Seed,300000.0,2018,2016,Haryana,Consumer Services
2018-06-01,Disprz,Seed,400000.0,2018,2016,Chennai,Education
2018-06-01,PregBuddy,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-06-01,Wimoxez,Seed,20000.0,2018,2016,Hyderabad,Technology
2018-06-01,HappyEMI,Seed,1000000.0,2018,2016,Bangalore,FinTech
2018-06-02,Yaantra,Seed,2000000.0,2018,2016,Delhi,Technology
2018-06-03,Cricnwin,Seed,5800000.0,2018,2016,Gurugram,Gaming
2018-06-04,ElasticRun,Series B,600000000.0,2018,2016,Pune,Logistics
2018-06-05,Pandorum Technologies,Series A,3600000.0,2018,2016,Bangalore,Healthcare
2018-06-05,CLP India Pvt. Ltd.,Seed,365000000.0,2018,2016,Mumbai,Energy
2018-06-05,Technology 9 Labs (T9L),Corporate Round,5800000.0,2018,2016,Delhi,Technology
2018-06-05,Freightwalla,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-06-06,Dailyhunt,Series E,6000000.0,2018,2016,Bangalore,Media/Entertainment
2018-06-07,SectorQube,Seed,5800000.0,2018,2016,Ernakulam,Consumer Services
2018-06-08,Wide Mobility Mechatronics,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-06-08,RAHI Care,Venture - Series Unknown,5800000.0,2018,2016,Chandigarh,Automotive
2018-06-08,Survaider,Seed,500000.0,2018,2016,Bangalore,Marketing
2018-06-09,India Accelerator,Angel,5800000.0,2018,2016,Gurugram,Education
2018-06-09,Articbot,Grant,1200000.0,2018,2016,Kannur,Technology
2018-06-10,Cleardekho,Venture - Series Unknown,5800000.0,2018,2016,Ghaziabad,Lifestyle
2018-06-11,Wow Venue,Venture - Series Unknown,1500000.0,2018,2016,Mumbai,Other
2018-06-11,Streak,Seed,22500000.0,2018,2016,Bangalore,Finance
2018-06-12,Cloudnine Hospitals,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-06-12,The Ken,Series A,1500000.0,2018,2016,Bangalore,Media/Entertainment
2018-06-14,Wicked Ride Adventure Services Private Limited,Venture - Series Unknown,10000000.0,2018,2016,Bangalore,Automotive
2018-06-14,Paymatrix,Seed,100000.0,2018,2016,Hyderabad,Automotive
2018-06-14,Streo,Seed,5800000.0,2018,2016,Gurugram,Media/Entertainment
2018-06-14,MyNewCar.in,Venture - Series Unknown,1000000.0,2018,2016,Gurugram,Automotive
2018-06-16,Droom Technology Private Limited,Series E,30000000.0,2018,2016,Gurugram,Automotive
2018-06-17,HeyHolidays,Seed,1000000.0,2018,2016,Bangalore,Logistics
2018-06-17,Toffee,Seed,1500000.0,2018,2016,Gurugram,Technology
2018-06-17,Snapmint,Seed,5800000.0,2018,2016,Mumbai,Consumer Services
